_SAPPCTXT_HEADER_               002 8000 CHART HE 1800 OK 
100                             017 "כללי"
1000                            034 "ערך תכונה לא תקף"
1001                            045 "לא ניתן לאתחל את הדיאלוג"
1002                            030 "שגיאה בעת שמירה"
1003                            031 "שגיאה בעת טעינה!"
1004                            032 "שגיאה בעת הדפסה"
1005                            039 "אין מספיק זיכרון זמין"
1006                            042 "אין מספיק משאבים פנויים"
1007                            025 "אינדקס לא חוקי"
1008                            028 "ארגומנט לא חוקי"
4000                            018 "YYYY;0;0"
4001                            017 "'YY;0;1"
4002                            025 "חודש, yyyy;2;2"
4003                            022 "חודש, yy;2;3'"
4004                            019 "חודש 2;4;"
4005                            017 "חודש 2;5;"
4006                            015 "M;2;6"
4007                            015 "m;2;7"
4008                            028 "יי. חודש 'שש;3;8"
4009                            027 "יי. חודש 'שש;3;9"
4010                            022 "dd. Mon;3;10"
4011                            020 "dd. M;3;11"
4012                            019 "d.m.;3;12"
4013                            034 "ww, dd. - dd. Month;3;13"
4014                            034 "ww, dd.mm. - dd.mm.;3;14"
4015                            038 "ww, dd.mm. - dd.mm.yyyy;3;15"
4016                            036 "ww, dd.mm. - dd.mm.yy;3;16"
4017                            022 "w. Week;3;17"
4018                            016 "w;3;18"
4019                            027 "תאריך-חלונות 3;19;"
4020                            029 "da dd. Mon 'yy;4;20"
4021                            025 "da dd. Mon;4;21"
4022                            026 "dd. Mon 'yy;4;22"
4023                            022 "dd. Mon;4;23"
4024                            029 "יום )חופשות( 4;24;"
4025                            017 "Da;4;25"
4026                            016 "D;4;26"
4027                            025 "dd.mm.yyyy;4;27"
4028                            027 "Da, dd.mm.yy;4;28"
4029                            030 "Day, dd.mm.yyyy;4;29"
4030                            023 "dd.mm.yy;4;30"
4031                            018 "יום 4;31;"
4032                            028 "ddd, dd.mm.yy;4;32"
4033                            023 "ddd yyyy;4;33"
4034                            022 "ddd 'yy;4;34"
4035                            018 "ddd;4;35"
4036                            027 "תאריך Windows;4;36"
4037                            032 "Da dd.mm.yy hh:mm;5;37"
4038                            029 "dd.mm.yy hh:mm;5;38"
4039                            024 "יום hh:mm;5;39"
4040                            023 "Da hh:mm;5;40"
4041                            032 "Da dd. Mon, hh am;5;41"
4042                            029 "dd. Mon, hh am;5;42"
