_SAPPCTXT_HEADER_               002 8000 CHART UK 1504 OK 
100                             017 "Загальне"
1000                            034 "Недійсне значення властивості"
1001                            045 "Не можна ініціалізувати діалог!"
1002                            030 "Помилка під час збереження"
1003                            031 "Помилка під час завантаження!"
1004                            032 "Помилка друку"
1005                            039 "Недостатньо пам'яті"
1006                            042 "Недостатньо ресурсів"
1007                            025 "Недійсний індекс"
1008                            028 "Недійсний аргумент"
4000                            018 "РРРР;0;0"
4001                            017 "РР;0;1"
4002                            025 "Місяць, рррр;2;2"
4003                            022 "Міс, рр;2;3"
4004                            019 "Місяць;2;4"
4005                            017 "Міс;2;5"
4006                            015 "М;2;6"
4007                            015 "м;2;7"
4008                            028 "дд. місяць рррр;3;8"
4009                            027 "дд. місяць рр;3;9"
4010                            022 "дд. міс;3;10"
4011                            020 "дд. м;3;11"
4012                            019 "д.м.;3;12"
4013                            034 "тт, дд. - дд. місяць;3;13"
4014                            034 "тт, дд.мм. - дд.мм.;3;14"
4015                            038 "тт, дд.мм. - дд.мм.рррр;3;15"
4016                            036 "тт, дд.мм. - дд.мм.рр;3;16"
4017                            022 "т. тиждень;3;17"
4018                            016 "т;3;18"
4019                            027 "Дата Windows;3;19"
4020                            029 "дн дд. міс рр;4;20"
4021                            025 "дн дд. міс;4;21"
4022                            026 "дд. міс рр;4;22"
4023                            022 "дд. міс;4;23"
4024                            029 "День (свята);4;24"
4025                            017 "Дн;4;25"
4026                            016 "Д;4;26"
4027                            025 "дд.мм.рррр;4;27"
4028                            027 "Дн, дд.мм.рр;4;28"
4029                            030 "День, дд.мм.рррр;4;29"
4030                            023 "дд.мм.рр;4;30"
4031                            018 "День;4;31"
4032                            028 "ддд, дд.мм.рр;4;32"
4033                            023 "ддд рррр;4;33"
4034                            022 "ддд рр;4;34"
4035                            018 "ддд;4;35"
4036                            027 "Дата Windows;4;36"
4037                            032 "Дн дд.мм.рр гг:хх;5;37"
4038                            029 "дд.мм.рр гг:хх;5;38"
4039                            024 "День гг:хх;5;39"
4040                            023 "Дн гг:хх;5;40"
4041                            032 "Дн дд. міс, гг ран;5;41"
4042                            029 "дд. міс, гг ран;5;42"
4043                            028 "Дн міс, гг ран;5;43"
4044                            020 "гг ран;5;44"
4045                            017 "гг;5;45"
4046                            034 "Дата і час Win.;5;46"
4047                            027 "Час Windows;5;47"
4048                            020 "гг:хх;5;48"
4049                            023 "гг:хх:сс;5;49"
4050                            017 "дд;4;50"
4051                            020 "дд.мм;4;59"
4052                            017 "мм;6;51"
4053                            021 "К рррр;1;52"
4054                            020 "К рр;1;53"
4055                            021 "к.рррр;1;54"
4056                            019 "к.рр;1;55"
4057                            020 "хх:сс;6;56"
4058                            017 "сс;6;57"
4059                            019 "КТ т;3;58"
4099                            012 "51"
4200                            017 "Січень"
4201                            018 "Лютий"
4202                            015 "Березень"
4203                            015 "Квітень"
4204                            013 "Травень"
4205                            014 "Червень"
4206                            014 "Липень"
4207                            016 "Серпень"
4208                            019 "Вересень"
4209                            017 "Жовтень"
4210                            018 "Листопад"
4211                            018 "Грудень"
4212                            013 "Січ."
4213                            013 "Лют."
4214                            013 "Бер."
4215                            013 "Квіт."
4216                            013 "Травень"
4217                            013 "Чер."
4218                            013 "Лип."
4219                            013 "Сер."
4220                            013 "Вер."
4221                            013 "Жов."
4222                            013 "Лис."
4223                            013 "Гр."
4224                            011 "J"
4225                            011 "F"
4226                            011 "M"
4227                            011 "A"
4228                            011 "M"
4229                            011 "J"
4230                            011 "J"
4231                            011 "A"
4232                            011 "S"
4233                            011 "O"
4234                            011 "Л"
4235                            011 "Г"
4236                            016 "Понеділок"
4237                            017 "Вівторок"
4238                            019 "Середа"
4239                            018 "Четвер"
4240                            016 "П'ятниця"
4241                            018 "Субота"
4242                            016 "Неділя"
4243                            012 "Пн"
4244                            012 "Вт"
4245                            012 "Ср"
4246                            012 "Чт"
4247                            012 "Пт"
4248                            012 "Сб"
4249                            012 "Нд"
4250                            011 "M"
4251                            011 "T"
4252                            011 "W"
4253                            011 "T"
4254                            011 "F"
4255                            011 "S"
4256                            011 "S"
4257                            017 "Рік (роки)"
4258                            020 "Квартал(и)"
4259                            018 "Місяць(і)"
4260                            017 "Тиждень(і)"
4261                            016 "День(і)"
4262                            017 "Година(и)"
4263                            019 "Хвилин(и)"
4264                            019 "Секунда(и)"
4265                            022 "Робочий час"
4270                            014 "Квр."
4271                            014 "Тиждень"
4400                            019 "Вибір"
4402                            014 "Немає"
4403                            014 "Текст"
4404                            016 "Лінійний"
4405                            021 "Логарифмічний"
4406                            019 "Потенціал"
4407                            021 "Експоненціал"
4408                            016 "Змінний"
4409                            017 "Середнє"
4415                            021 "Фактичний розмір"
4416                            015 "Перекриття"
4417                            024 "Розтягнути за розміром"
4418                            018 "За шириною даних"
4419                            018 "Обтинання"
10012                           015 "Дата:"
10013                           027 "A4 (210 * 297 мм)"
10014                           032 "Лист (8.5 * 11 дюймів)"
10015                           031 "Legal (8.5 * 14 дюймів)"
10016                           016 "Нормальний"
10017                           027 "Друкування сторінки %ld"
10018                           020 "з %s"
10019                           054 "Виникла загальна помилка під час друкування."
10020                           070 "Недостатньо пам'яті на жорсткому диску при друкуванні."
10021                           055 "Недостатньо пам'яті на жорсткому диску."
10022                           097 "Принтери не встановлені. Будь ласка, встановіть принтер та повторіть операцію друкування."
10023                           028 "\t&[view]\t&[date]"
10024                           024 "\tСторінка &[page]"
10027                           098 "Заданий принтер або з'єднання принтера недійсне. Буде використано стандартний принтер."
12000                           016 "Понеділок"
12001                           017 "Вівторок"
12002                           019 "Середа"
12003                           018 "Четвер"
12004                           016 "П'ятниця"
12005                           018 "Субота"
12006                           016 "Неділя"
12007                           017 "День тижня"
12008                           019 "Вихідні"
12009                           018 "Святкові дні"
12010                           018 "Відпустка"
12011                           025 "Дні відсутності"
12321                           015 "Застосувати"
15000                           016 "&Відмінити"
15001                           019 "\t Ctrl+Z"
15002                           014 "Перемістити"
15004                           021 "Змінити розмір"
15007                           023 "Недоступний"
18000                           014 "Шрифт"
18001                           016 "&Шрифт:"
18003                           022 "&Стиль шрифту:"
18005                           016 "&Розмір:"
18007                           017 "&Колір:"
18009                           017 "Ефекти"
18010                           024 "&Закреслювання"
18011                           020 "&Підкреслювання"
18012                           017 "Поперед.перегляд"
18013                           019 "Графіті"
18600                           015 "Друкувати"
18601                           017 "Принтер"
18604                           024 "&Друк у файл"
18605                           024 "&Властивості..."
18606                           021 "Діапазон друку"
18607                           014 "&Усе"
18608                           022 "&Сторінки з:"
18611                           014 "&до:"
18614                           016 "Копії"
18615                           028 "&Кількість копій:"
18619                           018 "&Сортування"
18620                           024 "&Попередній перегляд"
18621                           024 "&Установка сторінки..."
18700                           014 "Сторінка"
18701                           022 "&Розмір паперу:"
18703                           025 "&Якість друку:"
18705                           021 "Орієнтація"
18706                           019 "&Вертикально"
18707                           021 "&Горизонтально"
18708                           016 "Центр"
18709                           023 "&Горизонтально"
18710                           021 "&Вертикально"
18800                           022 "Межі сторінки"
18801                           016 "Межа"
18802                           016 "&Ліворуч:"
18805                           017 "&Праворуч:"
18808                           015 "&Зверху:"
18811                           018 "&Знизу:"
18814                           017 "Поля"
18815                           018 "&Верхн.колонтитул:"
18818                           018 "&Нижн.колонтитул:"
18821                           017 "Поперед.перегляд"
18900                           017 "Опції"
18901                           017 "Масштабування"
18902                           017 "&Масштаб:"
18905                           018 "&Адаптувати до:"
18908                           017 "Сторінка(и)"
18909                           019 "&Вертикально"
18910                           021 "&Горизонтально"
18911                           021 "&Опції..."
19000                           015 "Друкувати"
20000                           029 "%ld д, %ld г, %ld х"
20001                           022 "%ld г, %ld х"
20002                           014 "ДГХ,"
20017                           114 "Поля принтера ширше, ніж поля сторінки.\nАдаптувати поля до сторінки?"
20018                           056 "Для друку потрібно вибрати принтер."
20019                           020 "Налаштувати сторінку"
20020                           014 "Авто"
20023                           041 "Недостатньо ресурсів"
20024                           029 "Помилка під час збереження"
20025                           030 "Помилка під час завантаження"
20026                           017 "&Колір:"
20027                           022 "&Передній план:"
20028                           022 "&Фон:"
20029                           023 "&Колір штрихування:"
20030                           016 "&З:"
20031                           014 "&До:"
20032                           019 "&Шаблон:"
20033                           017 "&Штрихування:"
20034                           020 "&Градієнт:"
20064                           019 "&Друк..."
20066                           024 "&Параметри сторінки..."
20072                           030 "&Закрити перегляд сторінки"
20087                           017 "Невідомо"
20088                           014 "Тонкий"
20089                           021 "Екстра-легкий"
20090                           015 "Легкий"
20091                           017 "Звичайний"
20092                           016 "Середній"
20093                           018 "Напівжирний"
20094                           014 "Жирний"
20095                           020 "Екстра-жирний"
20096                           015 "Яскравий"
20097                           021 "Екстра-яскравий"
20098                           017 "Курсив"
20099                           017 "Невідомо"
20105                           019 "Підкреслений"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Об'єкт"
20110                           017 "Об'єкти"
20111                           033 "Не вдалося зчитати файл!"
20112                           081 "Недостатньо пам'яті. Закрийте один або декілька застосунків."
20113                           044 "Вибраний стиль не існує."
20114                           058 "Розмір шрифту повинен бути між 1 та 1635."
20115                           089 "Вибраний шрифт недоступний у вашій системі. Ви все ще бажаєте його використати?"
20119                           020 "&Об'єкт..."
20128                           057 "Коефіцієнт масштабування повинен бути між 25% та 400%."
20141                           055 "Будь ласко, введіть значення більше або рівне 0!"
20142                           055 "Будь ласко, введіть значення більше або рівне 1!"
20145                           079 "Кількість сторінок, що адаптуються, щонайменше 1 та щонайбільше 100"
20147                           014 "Високий"
20148                           016 "Середній"
20149                           013 "Низький"
20150                           016 "Чернетка"
20154                           023 "Форматувати легенду"
20162                           091 "Принтер не інстальовано, або не визначено як стандартний принтер."
22000                           031 "&Форматув.область діаграми..."
22001                           024 "&Тип діаграми..."
22002                           025 "&Джерело даних..."
22003                           027 "&Опції діаграми..."
22004                           021 "Форматувати графік"
22005                           020 "Тип діаграми"
22006                           023 "Опції діаграми"
22007                           032 "&Форматувати серії даних..."
22008                           017 "&Видалити"
22009                           028 "Форматувати серії даних"
22010                           019 "&Перекриття:"
22011                           014 "Відмінити"
22012                           027 "&Лінії з'єднання"
22014                           030 "&Розмір другого графіка"
22015                           021 "&Базові лінії"
22018                           032 "&Кут першого сегмента:"
22020                           030 "&Розмір внутрішнього кола:"
22021                           012 "КТ"
22022                           032 "&Показати негативні бульбашки"
22023                           033 "Припасувати розмір бульбашки до:"
22024                           022 "% як усталено"
22025                           031 "&Форматування точки даних..."
22026                           027 "Форматування точки даних"
22027                           032 "&Форматувати мітки даних..."
22028                           028 "Форматувати мітки даних"
22029                           031 "&Форматувати мітку даних..."
22030                           027 "Форматувати мітку даних"
22031                           018 "Стандарт"
22032                           025 "&Форматувати вісь..."
22033                           021 "Форматувати вісь"
22034                           060 "Значення мінімума повинно бути більше нуля."
22035                           055 "Мінімум повинен бути менше, ніж максимум."
22036                           031 "&Форматувати лінії сітки..."
22037                           026 "Форматувати лінії сітки"
22038                           027 "Форматувати базові лінії"
22039                           031 "&Форматувати базові лінії..."
22040                           029 "Форматувати лінії серій"
22041                           033 "&Форматувати лінії серій..."
22042                           027 "Форматувати ключ легенди"
22043                           029 "Форматувати індекс легенди"
22044                           031 "&Форматувати ключ легенди..."
22045                           033 "&Форматувати індекс легенди..."
22046                           028 "&Форматувати легенду..."
22047                           026 "&Форматувати графік..."
22048                           022 "Смуга X помилок"
22049                           022 "Смуга Y помилок"
22050                           031 "&Форматувати смуги помилок..."
22051                           027 "Форматувати смуги помилок"
22052                           021 "Джерело даних"
22053                           021 "Ряд даних"
22054                           018 "&Значення:"
22055                           022 "&X - Значення:"
22056                           028 "Недійсне посилання!"
