_SAPPCTXT_HEADER_               002 8000 CHART ET 1904 OK 
100                             017 "Üldist"
1000                            034 "Sobimatu atribuudiväärtus"
1001                            045 "Dialoogi ei saa lähtestada"
1002                            030 "Salvestamisel ilmnes tõrge."
1003                            031 "Tõrge laadimisel!"
1004                            032 "Tõrge printimisel"
1005                            039 "Mälu pole piisavalt"
1006                            042 "Ressursse pole piisavalt"
1007                            025 "Sobimatu indeks"
1008                            028 "Sobimatu argument"
4000                            018 "AAAA;0;0"
4001                            017 "'AA;0;1"
4002                            025 "Kuu, AAAA;2;2"
4003                            022 "KKK, 'AA;2;3"
4004                            019 "Kuu;2;4"
4005                            017 "KKK;2;5"
4006                            015 "K;2;6"
4007                            015 "k;2;7"
4008                            028 "PP. kuu AAAA;3;8"
4009                            027 "PP. kuu 'AA;3;9"
4010                            022 "PP. KKK;3;10"
4011                            020 "PP. K;3;11"
4012                            019 "P.K.;3;12"
4013                            034 "NN, PP. - PP. kuu;3;13"
4014                            034 "NN, PP.KK. - PP.KK.;3;14"
4015                            038 "NN, PP.KK. - PP.KK.AAAA;3;15"
4016                            036 "NN, PP.KK. - PP.KK.AA;3;16"
4017                            022 "N. nädal;3;17"
4018                            016 "N;3;18"
4019                            027 "Windowsi kuupäev;3;19"
4020                            029 "pv PP. KKK 'AA;4;20"
4021                            025 "pv PP. KKK;4;21"
4022                            026 "PP. KKK 'AA;4;22"
4023                            022 "PP. KKK;4;23"
4024                            029 "Päev (puhkepäev);4;24"
4025                            017 "Pv;4;25"
4026                            016 "P;4;26"
4027                            025 "PP.KK.AAAA;4;27"
4028                            027 "Pv, PP.KK.AA;4;28"
4029                            030 "Päev, PP.KK.AAAA;4;29"
4030                            023 "PP.KK.AA;4;30"
4031                            018 "Päev;4;31"
4032                            028 "PPP, PP.KK.AA;4;32"
4033                            023 "PPP AAAA;4;33"
4034                            022 "PPP 'AA;4;34"
4035                            018 "PPP;4;35"
4036                            027 "Windowsi kuupäev;4;36"
4037                            032 "Pv PP.KK.AA hh:mm;5;37"
4038                            029 "PP.KK.AA hh:mm;5;38"
4039                            024 "Päev hh:mm;5;39"
4040                            023 "Pv hh:mm;5;40"
4041                            032 "Pv PP. Kuu, hh EL;5;41"
4042                            029 "PP. Kuu, hh EL;5;42"
4043                            028 "Pv Kuu, hh EL;5;43"
4044                            020 "hh EL;5;44"
4045                            017 "hh;5;45"
4046                            034 "Windowsi kuupäev ja kellaaeg;5;46"
4047                            027 "Windowsi kellaaeg;5;47"
4048                            020 "hh:mm;5;48"
4049                            023 "hh:mm:ss;5;49"
4050                            017 "PP;4;50"
4051                            020 "PP.KK;4;59"
4052                            017 "KK;6;51"
4053                            021 "Kv AAAA;1;52"
4054                            020 "Kv 'AA;1;53"
4055                            021 "Kv.AAAA;1;54"
4056                            019 "Kv.AA;1;55"
4057                            020 "mm:ss;6;56"
