_SAPPCTXT_HEADER_               002 8000 CHART NO 1100 OK 
100                             017 "Generell"
1000                            034 "Ugyldig egenskapsverdi"
1001                            045 "Kan ikke initialisere dialogen"
1002                            030 "Feil ved lagring"
1003                            031 "Feil ved lasting"
1004                            032 "Feil ved utskrift"
1005                            039 "Ikke nok tilgjengelig minne"
1006                            042 "Ikke nok tilgjengelige ressurser"
1007                            025 "Ugyldig indeks"
1008                            028 "Ugyldig argument"
4000                            018 "ÅÅÅÅ;0;0"
4001                            017 "'ÅÅ;0;1"
4002                            025 "Måned, ÅÅÅÅ;2;2"
4003                            022 "Md., 'ÅÅ;2;3"
4004                            019 "Måned;2;4"
4005                            017 "Md.;2;5"
4006                            015 "M;2;6"
4007                            015 "M;2;7"
4008                            028 "DD. måned ÅÅÅÅ;3;8"
4009                            027 "DD. måned 'ÅÅ;3;9"
4010                            022 "DD. md.;3;10"
4011                            020 "DD. M;3;11"
4012                            019 "D.M.;3;12"
4013                            034 "UU, DD. - DD. Måned;3;13"
4014                            034 "UU, DD.MM. - DD.MM.;3;14"
4015                            038 "UU, DD.MM. - DD.MM.ÅÅÅÅ;3;15"
4016                            036 "UU, DD.MM. - DD.MM.ÅÅ;3;16"
4017                            022 "U. Uke;3;17"
4018                            016 "U;3;18"
4019                            027 "Windows-dato;3;19"
4020                            029 "Dg DD. md. 'ÅÅ;4;20"
4021                            025 "Dg DD. md.;4;21"
4022                            026 "DD. Mån 'ÅÅ;4;22"
4023                            022 "DD. Mån;4;23"
4024                            029 "Dag (helgedager);4;24"
4025                            017 "Dg;4;25"
4026                            016 "D;4;26"
4027                            025 "DD.MM.ÅÅÅÅ;4;27"
4028                            027 "Dg, DD.MM.ÅÅ;4;28"
4029                            030 "Dag, DD.MM.ÅÅÅÅ;4;29"
4030                            023 "DD.MM.ÅÅ;4;30"
4031                            018 "Dag;4;31"
4032                            028 "DDD, DD.MM.ÅÅ;4;32"
4033                            023 "DDD ÅÅÅÅ;4;33"
4034                            022 "DDD 'ÅÅ;4;34"
4035                            018 "DDD;4;35"
4036                            027 "Windows-dato;4;36"
4037                            032 "Dg DD.MM.ÅÅ tt:mm;5;37"
4038                            029 "DD.MM.ÅÅ tt:mm;5;38"
4039                            024 "Dag tt:mm;5;39"
4040                            023 "Dg tt:mm;5;40"
4041                            032 "Dg DD. md., tt am;5;41"
4042                            029 "DD. Mån, tt am;5;42"
4043                            028 "Dg md., tt am;5;43"
4044                            020 "tt am;5;44"
4045                            017 "tt;5;45"
4046                            034 "Windows-dato og -kl.;5;46"
4047                            027 "Windows-klokkeslett;5;47"
4048                            020 "tt:mm;5;48"
4049                            023 "tt:mm:ss;5;49"
4050                            017 "DD;4;50"
4051                            020 "DD.MM;4;59"
4052                            017 "MM;6;51"
4053                            021 "K ÅÅÅÅ;1;52"
4054                            020 "K 'ÅÅ;1;53"
4055                            021 "K.ÅÅÅÅ;1;54"
4056                            019 "K.ÅÅ;1;55"
4057                            020 "mm:ss;6;56"
4058                            017 "ss;6;57"
4059                            019 "KU U;3;58"
4099                            012 "51"
4200                            017 "Januar"
4201                            018 "Februar"
4202                            015 "Mars"
4203                            015 "April"
4204                            013 "Mai"
4205                            014 "Juni"
4206                            014 "Juli"
4207                            016 "August"
4208                            019 "September"
4209                            017 "Oktober"
4210                            018 "November"
4211                            018 "Desember"
4212                            013 "Jan."
4213                            013 "Feb."
4214                            013 "Mars"
4215                            013 "Apr."
4216                            013 "Mai"
4217                            013 "Juni"
4218                            013 "Juli"
4219                            013 "Aug."
4220                            013 "Sep."
4221                            013 "Okt."
4222                            013 "Nov."
4223                            013 "Des."
4224                            011 "J"
4225                            011 "F"
4226                            011 "M"
4227                            011 "A"
