_SAPPCTXT_HEADER_               002 8000 CHART TH 8600 OK 
100                             017 "ทั่วไป"
1000                            034 "ค่าคุณสมบัติไม่ถูกต้อง"
1001                            045 "ไม่สามารถกำหนดค่าเริ่มต้นไดอะลอกได้"
1002                            030 "ข้อผิดพลาดขณะเก็บบันทึก"
1003                            031 "ข้อผิดพลาดขณะโหลดข้อมูล!"
1004                            032 "เกิดข้อผิดพลาดขณะพิมพ์"
1005                            039 "มีหน่วยความจำไม่เพียงพอ"
1006                            042 "มีทรัพยากรไม่เพียงพอ"
1007                            025 "ดัชนีไม่ถูกต้อง"
1008                            028 "อาร์กิวเมนต์ไม่ถูกต้อง"
4000                            018 "YYYY;0;0"
4001                            017 "'YY;0;1"
4002                            025 "Month, yyyy;2;2"
4003                            022 "Mon, 'yy;2;3"
4004                            019 "Month;2;4"
4005                            017 "Mon;2;5"
4006                            015 "M;2;6"
4007                            015 "m;2;7"
4008                            028 "dd. Month yyyy;3;8"
4009                            027 "dd. Month 'yy;3;9"
4010                            022 "dd. Mon;3;10"
4011                            020 "dd. M;3;11"
4012                            019 "d.m.;3;12"
4013                            034 "ww, dd. - dd. Month;3;13"
4014                            034 "ww, dd.mm. - dd.mm.;3;14"
4015                            038 "ww, dd.mm. - dd.mm.yyyy;3;15"
4016                            036 "ww, dd.mm. - dd.mm.yy;3;16"
4017                            022 "w. Week;3;17"
4018                            016 "w;3;18"
4019                            027 "วินโดว์-วันที่;3;19"
4020                            029 "da dd. Mon 'yy;4;20"
4021                            025 "da dd. Mon;4;21"
4022                            026 "dd. Mon 'yy;4;22"
4023                            022 "dd. Mon;4;23"
4024                            029 "วัน (วันหยุด);4;24"
4025                            017 "Da;4;25"
4026                            016 "D;4;26"
4027                            025 "dd.mm.yyyy;4;27"
4028                            027 "Da, dd.mm.yy;4;28"
4029                            030 "Day, dd.mm.yyyy;4;29"
4030                            023 "dd.mm.yy;4;30"
4031                            018 "Day;4;31"
4032                            028 "ddd, dd.mm.yy;4;32"
4033                            023 "ddd yyyy;4;33"
4034                            022 "ddd 'yy;4;34"
4035                            018 "ddd;4;35"
4036                            027 "วินโดว์-วันที่;4;36"
4037                            032 "Da dd.mm.yy hh:mm;5;37"
4038                            029 "dd.mm.yy hh:mm;5;38"
4039                            024 "Day hh:mm;5;39"
4040                            023 "Da hh:mm;5;40"
4041                            032 "Da dd. Mon, hh am;5;41"
4042                            029 "dd. Mon, hh am;5;42"
4043                            028 "Da Mon, hh am;5;43"
4044                            020 "hh am;5;44"
4045                            017 "hh;5;45"
4046                            034 "วินโดว์-วันที่และเวลา;5;46"
4047                            027 "วันโดว์-เวลา;5;47"
4048                            020 "hh:mm;5;48"
4049                            023 "hh:mm:ss;5;49"
4050                            017 "dd;4;50"
4051                            020 "dd.mm;4;59"
4052                            017 "mm;6;51"
4053                            021 "Q yyyy;1;52"
4054                            020 "Q 'yy;1;53"
4055                            021 "q.yyyy;1;54"
4056                            019 "q.yy;1;55"
4057                            020 "mm:ss;6;56"
4058                            017 "ss;6;57"
4059                            019 "CW w;3;58"
4099                            012 "51"
4200                            017 "มกราคม"
4201                            018 "กุมภาพันธ์"
4202                            015 "มีนาคม"
4203                            015 "เมษายน"
4204                            013 "พฤษภาคม"
4205                            014 "มิถุนายน"
4206                            014 "กรกฎาคม"
4207                            016 "สิงหาคม"
4208                            019 "กันยายน"
4209                            017 "ตุลาคม"
4210                            018 "พฤศจิกายน"
4211                            018 "ธันวาคม"
4212                            013 "ม.ค."
4213                            013 "ก.พ."
4214                            013 "มี.ค."
4215                            013 "เม.ย."
4216                            013 "พ.ค."
4217                            013 "มิ.ย."
4218                            013 "ก.ค."
4219                            013 "ส.ค."
4220                            013 "ก.ย."
4221                            013 "ต.ค."
4222                            013 "พ.ย."
4223                            013 "ธ.ค."
4224                            011 "มกราคม"
4225                            011 "กุมภาพันธ์"
4226                            011 "มีนาคม"
4227                            011 "เมษายน"
4228                            011 "พฤษภาคม"
4229                            011 "มิถุนายน"
4230                            011 "กรกฏาคม"
4231                            011 "สิงหาคม"
4232                            011 "กันยายน"
4233                            011 "ตุลาคม"
4234                            011 "พฤศจิกายน"
4235                            011 "ธันวาคม"
4236                            016 "จันทร์"
4237                            017 "อังคาร"
4238                            019 "พุธ"
4239                            018 "พฤหัส"
4240                            016 "ศุกร์"
4241                            018 "เสาร์"
4242                            016 "อาทิตย์"
4243                            012 "จ."
4244                            012 "อ."
4245                            012 "พ."
4246                            012 "พฤ."
4247                            012 "ศ."
4248                            012 "ส."
4249                            012 "อา."
4250                            011 "จ."
4251                            011 "อ."
4252                            011 "พ."
4253                            011 "พฤ."
4254                            011 "ศ."
4255                            011 "ส."
4256                            011 "อา."
4257                            017 "ปี"
4258                            020 "ไตรมาส"
4259                            018 "เดือน"
4260                            017 "สัปดาห์"
4261                            016 "วัน"
4262                            017 "ชั่วโมง"
4263                            019 "นาที"
4264                            019 "วินาที"
4265                            022 "เวลาทำงาน"
4270                            014 "ไตรมาส"
4271                            014 "สัปดาห์"
4400                            019 "การเลือก"
4402                            014 "ไม่มี"
4403                            014 "ข้อความ"
4404                            016 "แบบเส้นตรง"
4405                            021 "แบบลอการิทึม"
4406                            019 "ศักยภาพ"
4407                            021 "แบบเลขยกกำลัง"
4408                            016 "การย้าย"
4409                            017 "ค่าเฉลี่ย"
4415                            021 "ขนาดจริง"
4416                            015 "Tiled"
4417                            024 "ขยายออกให้เหมาะสม"
4418                            018 "เหมาะสมที่สุด"
4419                            018 "ตัดให้เหมาะสม"
10012                           015 "เมื่อ:"
10013                           027 "A4 (210 * 297 มม.)"
10014                           032 "Letter (8.5 * 11 นิ้ว)"
10015                           031 "Legal (8,5 * 14 นิ้ว)"
10016                           016 "ปกติ"
10017                           027 "พิมพ์หน้า %Id"
10018                           020 "จาก %s ใน"
10019                           054 "เกิดข้อผิดพลาดในระหว่างการพิมพ์"
10020                           070 "ฮาร์ดดิสก์มีหน่วยความจำไม่เพียงพอในขณะพิมพ์"
